"survyear","state","total_enrollment","sum_american","sum_asian","sum_hisp","sum_black","sum_white"
2004,"DELAWARE","112562","361","3244","10150","38421","66915"
2004,"DELAWARE","112743","361","3244","10150","38421","66915"
2004,"DELAWARE","114062","361","3244","10150","38421","66915"
2004,"DELAWARE","114371","361","3244","10150","38421","66915"
2004,"DELAWARE","114678","361","3244","10150","38421","66915"
2004,"DELAWARE","116804","361","3244","10150","38421","66915"
2004,"DELAWARE","117628","361","3244","10150","38421","66915"
2004,"DELAWARE","118624","361","3244","10150","38421","66915"
2004,"DELAWARE","118685","361","3244","10150","38421","66915"
2004,"DELAWARE","119878","361","3244","10150","38421","66915"
2004,"DELAWARE","120623","361","3244","10150","38421","66915"
2004,"DELAWARE","121225","361","3244","10150","38421","66915"
2004,"DELAWARE","121845","361","3244","10150","38421","66915"
2004,"DELAWARE",NULL,"722","6488","20300","76842","133830"
2004,"DISTRICT OF COLUMBIA",NULL,"36","1072","7272","64808","3526"
2004,"DOD DOMESTIC",NULL,"279","1107","5678","6270","13282"
2004,"DOD OVERSEAS",NULL,"503","6133","8402","11782","32649"
2004,"FLORIDA","1980569","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2039884","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2107514","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2175352","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2241298","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2292161","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2333567","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2377271","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2431884","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2500179","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2536699","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2592997","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2623067","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2627390","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2636404","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2645280","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2645680","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2656176","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2658559","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2663973","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2680074","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2708022","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2743641","8042","56210","606003","635672","1333409"
2004,"FLORIDA","2776933","8042","56210","606003","635672","1333409"
2004,"FLORIDA",NULL,"16084","112420","1212006","1271344","2666818"
